idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
CN81_E1_10.99_25.84,-2.0172668,0.02628246,-0.69344354,0.58595866,0.024969872,-0.16762422,0.026477253,-0.052128933,-0.078674376,-0.090600364,0.052538507,0.032436468,-0.17870602,-0.079601124,0.031399287,-0.019288693,0.022889726,0.028491158,-0.123243526,-0.041109268,0.11586253,0.08529362,0.022653729,0.05763506,0.027446706,0.021683915,0.092328325,0.014326397,-0.00017140899,-0.017793493,-0.08203107,0.09087956,-0.02115968,-0.02963868,0.06845238,-0.007923114,0.01646524,0.058127336,0.0058426587,0.046711102,0.005908801,-0.017170638,0.04818731,-0.032510713,0.009423221,-0.019840201,-0.045596503,0.0029031113,0.061391048,0.048367374
CN81_E1_13.05_1.98,1.21482,-0.74292374,0.9540128,0.24391466,-0.61459625,0.20946673,0.048334476,-0.07722462,0.18797356,0.13107741,0.17721437,0.26142034,-0.12697077,-0.21127614,0.11070949,0.02328103,0.41032064,-0.23633268,-0.18990918,-0.060029536,-0.02829044,-0.084322795,-0.23547329,-0.12600309,0.22880416,0.031646892,-0.027847841,0.034030464,0.08393405,0.033939347,-0.0017974973,0.034496114,-0.001022866,-0.1497588,-0.036188304,0.19634876,0.07962458,0.027273215,0.066874444,0.0010757227,-0.055440806,0.045049258,-0.039371684,0.06481139,0.1096733,-0.10233386,-0.045378104,-0.15071875,0.013453485,-0.0769199
CN81_E1_13.04_3.01,0.52582353,-0.7906211,0.7333136,0.016203886,-0.44788763,0.51672673,-0.1024532,-0.12673402,-0.18005055,-0.27530444,-0.34515345,0.392862,0.07516514,-0.17644538,0.18145597,-0.02172342,0.18241572,-0.110909335,-0.20589173,-0.01609049,0.017157076,-0.058579013,-0.012555632,0.050920993,-0.17077067,-0.11075453,-0.027491985,-0.1225514,0.2297194,0.0066553485,0.04150343,0.076272205,-0.13017973,-0.10087353,-0.012111038,-0.0034492463,0.044705346,0.024337973,0.11582587,0.00057812594,-0.109040484,-0.051046252,-0.016000167,0.019772317,0.0436934,-0.0047874376,-0.09755351,-0.15326773,0.062109325,-0.09344027
CN81_E1_10.99_4.97,1.3520045,-0.35199186,-0.5126283,0.14000511,-0.12708417,-0.071352,0.03233856,-0.06058803,-0.21163647,-0.092152804,-0.18446673,0.052593805,-0.16491511,-0.04467577,-0.0446831,-0.14674486,-0.057528965,-0.15991265,-0.0413922,0.04879713,-0.10183122,-0.0021203896,0.064305685,0.016025098,-0.035637196,0.048595503,-0.015132692,-0.00791836,0.024365433,0.061990816,0.0070087304,0.06848515,-0.05911565,-0.06411169,0.025714831,0.02184546,0.117391214,-0.02980042,0.10445339,0.02080594,-0.034227073,0.015150994,-0.034039557,0.042090297,-0.031967618,0.0025564432,-0.033571817,0.016580496,-0.0031359605,0.034788534
CN81_E1_4.93_26.97,2.6378083,-0.33062395,-0.02058264,0.40916908,0.07230883,-0.2019305,0.2400947,-0.6523262,-0.19002558,-0.026111167,0.39818004,-0.05423693,0.29629385,0.1615524,0.010765532,-0.07750121,-0.14779443,0.04994119,0.21245877,-0.19332387,-0.025479741,-0.11372641,0.18884826,0.054805275,0.08289294,0.05612745,0.018608108,0.14063913,0.14310624,-0.09067263,-0.10573165,-0.07996283,0.031491242,-0.12227678,0.05584964,0.0121660195,0.016838755,0.014232874,0.06996474,0.022074133,-0.060088113,-0.02078195,-0.052361745,0.12607062,0.06462431,0.046678618,-0.10706495,-0.052097715,-0.0076061003,-0.03283935
CN81_E1_27.95_30.93,1.4011753,-0.5188737,-0.3998319,-0.14162627,-0.13067523,0.15810388,-0.0049866885,-0.041833367,-0.2963555,-0.10011952,-0.029389858,-0.11498739,-0.23481329,-0.008373167,-0.16868964,-0.074468,-0.0002893135,-0.13188156,-0.060419347,0.092405476,-0.002897045,0.08314123,-0.015601559,0.01907033,-0.1593152,0.031666808,-0.08298365,-0.05819928,0.032747723,0.012015317,0.051617663,0.106843576,-0.026189055,-0.08930349,0.015265353,-0.051803958,0.00968688,-0.008890465,0.024370046,-0.06574433,-0.018514486,0.100091755,-0.04635558,-0.00438667,0.040610228,-0.0056566913,0.013978133,-0.047474973,-0.03391991,-0.018053625
CN81_E1_27.95_31.92,1.1184361,-0.19692054,-0.33278742,-0.08933301,-0.16224314,-0.026391767,-0.13834636,0.015833527,-0.22252399,-0.032170773,0.100208,-0.03837118,-0.020256229,0.028175252,-0.090145946,-0.021281453,-0.12618002,-0.057481833,-0.056808155,0.034271352,-0.032278188,0.019024344,0.059036463,-0.040330857,-0.13037425,0.0038008264,-0.029870888,-0.03942967,-0.034880556,0.0018700201,-0.042445894,0.026642228,-0.009917977,0.00936792,-0.055641882,-0.0903114,0.007758813,-0.027249502,-0.0058968416,-0.020024035,0.0061218385,0.07704447,-0.06736075,0.025610734,0.024665495,0.006175169,-0.012974385,-0.003823597,0.07095111,-0.04689493
CN81_E1_10.96_11.89,1.9103818,-0.3159912,-0.2814133,0.5236799,-0.26144245,-0.41923067,-0.28519797,0.37784287,0.20966268,-0.13205697,0.05047492,-0.46711466,-0.16620475,-0.1009455,0.026032256,0.14716583,-0.3640873,0.05772827,-0.013259016,-0.042013537,-0.05805523,-0.054199502,-0.02849387,-0.0315113,-0.01621419,0.11194123,0.053434245,-0.06337663,-0.14054224,-0.06600872,0.114087075,-0.07212173,-0.080340855,0.013345351,0.0062036775,-0.102322176,0.026309822,0.1322391,0.143496,0.06322985,-0.013718281,-0.06738496,-0.034778446,-0.02152093,-0.019079097,-0.025823794,0.008026445,0.06705618,-0.007395031,0.0035236776
CN81_E1_24.08_1.95,-1.2823378,-0.4909138,0.7032705,1.1356406,-0.11007424,0.048206788,-0.29931304,0.32138294,0.26832065,-0.037371952,-0.25513402,0.098568946,0.30058002,0.22556326,0.18378447,-0.27386194,0.11720876,0.004504289,0.035911493,0.17270502,0.054221068,0.029075982,0.015969135,0.2143916,0.06521569,-0.038433153,0.060873732,-0.16415359,0.2266559,-0.16247375,0.016672641,0.07292604,-0.027354436,-0.16206689,-0.10383767,0.048924558,0.06548333,-0.071365505,-0.04443883,0.014358181,-0.025993373,0.06940979,-0.034231,0.08371353,0.06402041,0.07722696,-0.17243399,-0.049031872,-0.054952644,-0.005339822
CN81_E1_15.97_5.97,1.4730362,-0.3929515,-0.3988696,0.059660457,-0.21215382,0.096300095,-0.23343058,0.017778838,-0.04940092,0.033879723,0.14118537,-0.013688,-0.14237279,-0.030563675,-0.117631435,-0.047319278,-0.08265317,-0.19518372,-0.029410236,-0.03846995,-0.09267182,0.081176214,0.12180582,0.047046445,-0.0768718,0.042608753,0.15446177,-0.07624812,-0.003060801,-0.049436193,-0.016029187,-0.10375222,0.05412493,0.020422194,-0.0464798,-0.046762295,0.050187945,0.05838956,-0.02027952,0.06801933,-0.021586433,0.0142724905,-0.015873536,-0.015402796,0.012392873,0.007931471,0.009392428,-0.0030323975,0.014019898,0.03963174
CN81_E1_27.95_2.99,-1.6369224,0.14946209,-0.5534954,-0.155929,-0.18608497,-0.19590431,0.13320035,-0.10927495,-0.13742541,-0.13211532,-0.05516959,0.060765386,-0.29178205,-0.009919733,-0.14969419,0.075625956,0.12405151,0.19296545,-0.12590425,0.04650124,0.14888741,0.11737758,0.02895095,0.015031241,-0.06461041,0.01608457,0.071905114,-0.04283295,0.08231844,-0.0029128771,0.051815055,0.027524384,0.08905883,-0.020301605,-0.0019083377,0.06651257,0.009417739,-0.09268254,-0.022191137,0.044866063,0.0023993421,-0.011293143,-0.02974426,-0.04298578,-0.003844438,0.030732535,-0.008092003,0.021066813,0.06033971,0.01628767
CN81_E1_16.96_6.01,1.112227,-0.104603104,-0.5155932,-0.10616088,-0.427118,-0.35246676,-0.017602917,0.04933321,0.007778197,0.009539144,0.004800938,-0.011366668,-0.122373536,-0.10072754,-0.06856372,-0.12621918,-0.06676989,0.0453543,-0.0013558916,0.029837262,-0.03630792,-0.018309351,0.090789415,0.111022785,0.07982106,-0.060651917,-0.029968776,0.042010132,-0.0077711446,-0.004032631,0.015711335,0.0079300795,-0.0049945554,-0.08290562,-0.02975375,0.03340949,-0.027078085,-0.019451868,-0.04394131,-0.0668306,-0.013442756,0.056294188,-0.028799443,0.054790042,0.027105957,0.03577746,0.0036242027,-0.014264721,-0.056021474,0.034018762
CN81_E1_31.92_26.88,-1.2728202,-0.5950503,-0.30846387,-0.30922878,-0.42617136,0.523353,-0.5222073,-0.81703293,0.0056539923,-0.023505107,-0.1681849,-0.64250654,0.18207067,-0.057477806,0.6549685,0.013798654,-0.04337529,0.0034565832,-0.13903327,-0.20503297,-0.115943916,-0.079872206,0.23836346,-0.11549768,0.015159636,-0.16986594,0.09217555,0.01719786,0.03664039,-0.13114199,0.053108424,0.11687172,-0.035609968,0.049896847,-0.057624117,-0.012691218,0.094301775,-0.0015057772,0.0024816561,0.01647256,-0.08997846,-0.1788662,0.01276869,0.09295333,-0.034368984,0.04006581,0.023009755,0.02833544,-0.01728727,-0.017914228
CN81_E1_6.98_25.91,2.001976,-0.699238,-0.22436099,0.29872033,0.4670811,-0.030375732,0.30589136,0.066977896,-0.14482333,-0.12779775,0.02196233,-0.26712692,0.26319718,0.18616666,-0.12816548,-0.005150444,0.19652446,-0.030926358,0.008002557,-0.048021324,-0.18927711,0.16719015,-0.010659073,-0.0073075164,0.10780385,0.03158384,0.16503271,0.19043423,0.08943836,-0.08127555,0.12171125,-0.11658629,0.104259014,-0.20361151,-0.09152106,0.08900404,0.1330563,0.049724095,-0.051742613,0.0550436,0.05840712,-0.0028062128,0.008131869,0.003909733,0.043090336,0.118933514,-0.05494381,0.056016244,-0.01430748,0.044450082
CN81_E1_28.94_1.91,0.39450303,-0.30474377,-0.40631476,0.3846837,0.31125948,-0.36746868,0.016893914,-0.055203103,-0.001844039,0.28827155,0.0032678237,0.06401187,0.26202145,-0.0022556232,0.17925054,-0.16200651,-0.22219838,-0.02301145,0.11794122,0.1523345,0.024141815,-0.052752316,-0.14736378,-0.029217143,0.057052337,-0.10527706,-0.028730141,0.07483476,0.15609542,0.07102033,-0.040176272,0.08532703,-0.028699467,-0.07487247,-0.09923562,0.05406697,-0.12959331,0.036346756,0.22624283,-0.09505637,0.08165811,0.0072576636,-0.05005534,0.03550993,0.00938567,-0.10635572,-0.029902166,-0.02954528,-0.022654407,-0.028210502
CN81_E1_24.97_1.95,0.17379715,-0.108536035,0.83328557,0.27171433,-0.87054527,-0.12341812,0.1951701,-0.17855228,-0.13361576,-0.123690136,0.07706609,0.2945337,0.015496983,-0.13794124,0.19806314,0.052519742,-0.14051874,-0.108369395,-0.11837098,0.074325085,0.007789866,-0.061308533,0.036754373,0.029895144,-0.16304463,0.090278134,-0.0144435335,-0.026890825,-0.017583374,0.06984798,0.057972275,-0.03859084,0.01537192,-0.04716684,-0.00016472675,-0.022925273,-0.035397924,0.058781203,-0.029403925,0.026893687,0.009854158,-0.08159702,-0.033886317,0.0005945659,-0.018820066,-0.018665755,-0.0033817985,-0.049715143,-0.008030405,0.0057705035
