,0,1,2,3,4
RPL14,-0.10973372,0.013448838,0.060432218,-0.09342674,0.076608054
RPL7A,-0.034647733,-0.020787673,0.022207243,-0.088118546,-0.0012319556
RPL21,-0.008675747,-0.017493324,0.014343722,-0.07710493,-0.008552275
RPS25,0.0061473153,-0.037957624,0.025782403,-0.05459404,-0.020617416
RPL23,-0.035092503,-0.014483948,0.024799839,-0.08129816,0.009116572
RPS6,-0.059536368,0.008991448,0.047810998,-0.08174319,0.0460444
UQCRQ,-0.034882452,-0.01709112,0.047211632,-0.040792346,0.033823974
RPLP0,-0.020176645,-0.009309975,0.006548118,-0.053541776,0.020197768
RPL15,-0.00050199067,-0.035035122,0.026222624,-0.03587799,-0.0021063976
RPL6,-0.038797565,-0.021332111,0.042609632,-0.049596567,0.02706999
RPL10A,-0.024848476,-0.022129977,0.018018607,-0.08100896,-0.004765115
RPS11,-0.10893599,0.008955589,0.057627365,-0.0824333,0.07758602
RPL7,-0.0012692806,-0.026061058,0.0153501015,-0.044948317,0.00046195145
FAU,-0.004688516,-0.031533357,0.046492394,-0.03603187,0.005776845
RPS5,0.0010388017,-0.03986854,0.049716845,0.004344166,0.020456119
RPS16,0.009536024,-0.033835772,0.028196694,-0.038076535,-0.008004343
RPL27,-0.014653049,-0.031678993,0.048892573,-0.025439851,0.018197358
RPS7,-0.17269976,0.024611413,0.075558,-0.10870302,0.116816595
RPL3,-0.00880724,-0.030655988,0.038201265,-0.037500277,0.0062886206
RPL35,-0.0033762245,-0.047723405,0.05426393,-0.009747525,0.007337336
B2M,0.0765505,-0.07816069,0.044084877,0.018346546,-0.05188988
HSPB1,0.013626063,-0.03784727,0.03942316,-0.010211882,0.004453968
RPL36A,0.015486247,-0.035820063,0.037489846,-0.017876295,-0.00036350917
RPL24,-0.18825893,0.0238321,0.07969701,-0.08224594,0.14202794
ADIRF,-0.0759995,-0.026353903,0.065831795,-0.05201167,0.046208356
NEAT1,0.017834436,-0.044615682,0.06549719,0.022317031,0.017982662
MYL6,0.012476063,-0.039701056,0.032702,-0.026730994,-0.0087986365
NACA,0.017398339,-0.048471484,0.063315295,0.0061948327,0.005080118
AGR2,-0.08098805,-0.004183069,0.008210968,-0.114404775,0.02424541
RPS10,-0.016742768,-0.032121155,0.057243314,-0.0032807556,0.033734355
RPS9,-0.06765923,-0.0049541406,0.012266879,-0.07741546,0.039089877
RPL4,-0.009334588,-0.029617429,0.004339118,-0.06592867,-0.013026926
ELOB,-0.02095684,-0.012410142,0.01803105,-0.07582778,0.0050778636
H3F3A,0.008872376,-0.035472453,0.009181284,-0.055747747,-0.022109661
PPIA,-0.097321466,0.0035901684,0.04487797,-0.07776565,0.067633964
S100A14,-0.0020232205,-0.039207205,0.046401527,-0.015527824,0.010787487
SMIM22,0.009474669,-0.041465923,-0.009809429,-0.054888166,-0.028717948
HSP90AA1,0.07158021,-0.07240155,0.02214974,0.008166465,-0.05225445
RPL11,-0.025286201,-0.033895444,0.004780737,-0.07657253,-0.012457658
RACK1,-0.009482711,-0.018453358,-0.0032465372,-0.09749492,-0.022443496
COL3A1,-0.00913481,-0.037222423,0.009955178,-0.0550331,-0.0113628665
KRT18,-0.073050804,-0.017400235,0.04862337,0.021221513,0.0976932
KRT7,-0.0038869523,-0.040040713,0.007987005,-0.057749145,-0.01937481
S100A10,0.00089482014,-0.04268966,0.009649715,-0.060547967,-0.027104538
UBB,0.0048682247,-0.034762688,0.027503641,-0.042724885,-0.009796539
